Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.5440

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 1.5454
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.2000
               h_bed: 0.5000
               l_bed: 10
               alpha: 4
                beta: 2
               omega: 0
                 e_v: 1.0000e-04

Running model run (ode15s):
Run to steady
Saving model run to
./RUN/output_006_steady.nc
Fields, IC & BC initialised
Initial phi calculated in 2.1s
36665.0/37230.0 days/days; walltime: 20.6
36666.0/37230.0 days/days; walltime: 64.1
36667.0/37230.0 days/days; walltime: 72.3
36668.0/37230.0 days/days; walltime: 309.7
36669.0/37230.0 days/days; walltime: 181.2
36670.0/37230.0 days/days; walltime: 164.2
36671.0/37230.0 days/days; walltime: 52.0
36672.0/37230.0 days/days; walltime: 98.5
36673.0/37230.0 days/days; walltime: 176.1
36674.0/37230.0 days/days; walltime: 139.2
36675.0/37230.0 days/days; walltime: 28.5
36676.0/37230.0 days/days; walltime: 117.6
36677.0/37230.0 days/days; walltime: 332.5
36678.0/37230.0 days/days; walltime: 41.6
36679.0/37230.0 days/days; walltime: 24.2
36680.0/37230.0 days/days; walltime: 27.9
36681.0/37230.0 days/days; walltime: 84.9
36682.0/37230.0 days/days; walltime: 50.1
36683.0/37230.0 days/days; walltime: 108.7
36684.0/37230.0 days/days; walltime: 89.7
36685.0/37230.0 days/days; walltime: 221.3
36686.0/37230.0 days/days; walltime: 186.9
36687.0/37230.0 days/days; walltime: 174.3
36688.0/37230.0 days/days; walltime: 65.2
36689.0/37230.0 days/days; walltime: 211.7
36690.0/37230.0 days/days; walltime: 302.5
36691.0/37230.0 days/days; walltime: 82.8
36692.0/37230.0 days/days; walltime: 62.7
36693.0/37230.0 days/days; walltime: 38.4
36694.0/37230.0 days/days; walltime: 19.2
36695.0/37230.0 days/days; walltime: 31.3
36696.0/37230.0 days/days; walltime: 25.6
36697.0/37230.0 days/days; walltime: 37.8
36698.0/37230.0 days/days; walltime: 47.3
36699.0/37230.0 days/days; walltime: 25.2
36700.0/37230.0 days/days; walltime: 105.1
36701.0/37230.0 days/days; walltime: 92.1
36702.0/37230.0 days/days; walltime: 26.3
36703.0/37230.0 days/days; walltime: 18.8
36704.0/37230.0 days/days; walltime: 97.4
36705.0/37230.0 days/days; walltime: 284.5
36706.0/37230.0 days/days; walltime: 194.8
36707.0/37230.0 days/days; walltime: 90.5
36708.0/37230.0 days/days; walltime: 100.3
36709.0/37230.0 days/days; walltime: 51.3
36710.0/37230.0 days/days; walltime: 74.1
36711.0/37230.0 days/days; walltime: 193.7
36712.0/37230.0 days/days; walltime: 80.7
36713.0/37230.0 days/days; walltime: 192.1
36714.0/37230.0 days/days; walltime: 34.5
36715.0/37230.0 days/days; walltime: 37.7
36716.0/37230.0 days/days; walltime: 35.3
36717.0/37230.0 days/days; walltime: 54.1
36718.0/37230.0 days/days; walltime: 42.9
36719.0/37230.0 days/days; walltime: 42.3
36720.0/37230.0 days/days; walltime: 112.0
36721.0/37230.0 days/days; walltime: 183.0
36722.0/37230.0 days/days; walltime: 224.2
36723.0/37230.0 days/days; walltime: 235.1
36724.0/37230.0 days/days; walltime: 135.3
36725.0/37230.0 days/days; walltime: 194.0
36726.0/37230.0 days/days; walltime: 156.2
36727.0/37230.0 days/days; walltime: 27.4
36728.0/37230.0 days/days; walltime: 274.2
36729.0/37230.0 days/days; walltime: 241.5
36730.0/37230.0 days/days; walltime: 206.0
36731.0/37230.0 days/days; walltime: 73.8
36732.0/37230.0 days/days; walltime: 108.1
36733.0/37230.0 days/days; walltime: 209.4
36734.0/37230.0 days/days; walltime: 76.7
36735.0/37230.0 days/days; walltime: 38.8
36736.0/37230.0 days/days; walltime: 207.2
36737.0/37230.0 days/days; walltime: 60.5
36738.0/37230.0 days/days; walltime: 37.5
36739.0/37230.0 days/days; walltime: 90.9
36740.0/37230.0 days/days; walltime: 83.2
36741.0/37230.0 days/days; walltime: 382.2
36742.0/37230.0 days/days; walltime: 395.4
36743.0/37230.0 days/days; walltime: 824.5
36744.0/37230.0 days/days; walltime: 312.7
36745.0/37230.0 days/days; walltime: 150.0
36746.0/37230.0 days/days; walltime: 122.8
36747.0/37230.0 days/days; walltime: 342.9
36748.0/37230.0 days/days; walltime: 185.2
36749.0/37230.0 days/days; walltime: 417.9
36750.0/37230.0 days/days; walltime: 145.6
36751.0/37230.0 days/days; walltime: 47.1
36752.0/37230.0 days/days; walltime: 196.1
36753.0/37230.0 days/days; walltime: 34.2
36754.0/37230.0 days/days; walltime: 34.9
36755.0/37230.0 days/days; walltime: 27.2
36756.0/37230.0 days/days; walltime: 22.6
36757.0/37230.0 days/days; walltime: 17.4
36758.0/37230.0 days/days; walltime: 11.4
36759.0/37230.0 days/days; walltime: 13.0
36760.0/37230.0 days/days; walltime: 22.4
36761.0/37230.0 days/days; walltime: 173.7
36762.0/37230.0 days/days; walltime: 154.6
36763.0/37230.0 days/days; walltime: 11.3
36764.0/37230.0 days/days; walltime: 133.6
36765.0/37230.0 days/days; walltime: 130.4
36766.0/37230.0 days/days; walltime: 7.2
36767.0/37230.0 days/days; walltime: 1.3
36768.0/37230.0 days/days; walltime: 4.0
36769.0/37230.0 days/days; walltime: 2.2
36770.0/37230.0 days/days; walltime: 1.7
36771.0/37230.0 days/days; walltime: 2.3
36772.0/37230.0 days/days; walltime: 2.5
36773.0/37230.0 days/days; walltime: 2.3
36774.0/37230.0 days/days; walltime: 2.0
36775.0/37230.0 days/days; walltime: 3.7
36776.0/37230.0 days/days; walltime: 1.9
36777.0/37230.0 days/days; walltime: 2.2
36778.0/37230.0 days/days; walltime: 2.1
36779.0/37230.0 days/days; walltime: 1.8
36780.0/37230.0 days/days; walltime: 1.7
36781.0/37230.0 days/days; walltime: 3.4
36782.0/37230.0 days/days; walltime: 56.0
36783.0/37230.0 days/days; walltime: 246.5
36784.0/37230.0 days/days; walltime: 261.9
36785.0/37230.0 days/days; walltime: 518.0
36786.0/37230.0 days/days; walltime: 215.9
36787.0/37230.0 days/days; walltime: 76.1
36788.0/37230.0 days/days; walltime: 9.9
36789.0/37230.0 days/days; walltime: 16.0
36790.0/37230.0 days/days; walltime: 3.2
36791.0/37230.0 days/days; walltime: 13.8
36792.0/37230.0 days/days; walltime: 30.1
36793.0/37230.0 days/days; walltime: 29.4
36794.0/37230.0 days/days; walltime: 26.4
36795.0/37230.0 days/days; walltime: 28.9
36796.0/37230.0 days/days; walltime: 20.1
36797.0/37230.0 days/days; walltime: 9.6
36798.0/37230.0 days/days; walltime: 4.6
