Case 1:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.18945

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.0138
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.2500
                beta: 1.5000
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_001_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36684.0/37230.0 days/days; walltime: 2.2
36685.0/37230.0 days/days; walltime: 12.6
36686.0/37230.0 days/days; walltime: 0.9
36687.0/37230.0 days/days; walltime: 1.0
36688.0/37230.0 days/days; walltime: 1.5
36689.0/37230.0 days/days; walltime: 1.2
36690.0/37230.0 days/days; walltime: 2.7
36691.0/37230.0 days/days; walltime: 2.5
36692.0/37230.0 days/days; walltime: 2.7
36693.0/37230.0 days/days; walltime: 3.6
36694.0/37230.0 days/days; walltime: 4.3
36695.0/37230.0 days/days; walltime: 6.0
36696.0/37230.0 days/days; walltime: 11.7
36697.0/37230.0 days/days; walltime: 8.9
36698.0/37230.0 days/days; walltime: 7.2
36699.0/37230.0 days/days; walltime: 9.8
36700.0/37230.0 days/days; walltime: 2.7
36701.0/37230.0 days/days; walltime: 3.2
36702.0/37230.0 days/days; walltime: 4.4
36703.0/37230.0 days/days; walltime: 1.5
36704.0/37230.0 days/days; walltime: 2.0
36705.0/37230.0 days/days; walltime: 2.2
36706.0/37230.0 days/days; walltime: 4.3
36707.0/37230.0 days/days; walltime: 8.9
36708.0/37230.0 days/days; walltime: 5.6
36709.0/37230.0 days/days; walltime: 8.1
36710.0/37230.0 days/days; walltime: 3.2
36711.0/37230.0 days/days; walltime: 10.9
36712.0/37230.0 days/days; walltime: 3.6
36713.0/37230.0 days/days; walltime: 5.8
36714.0/37230.0 days/days; walltime: 10.4
36715.0/37230.0 days/days; walltime: 6.1
36716.0/37230.0 days/days; walltime: 5.8
36717.0/37230.0 days/days; walltime: 7.5
36718.0/37230.0 days/days; walltime: 9.7
36719.0/37230.0 days/days; walltime: 7.5
36720.0/37230.0 days/days; walltime: 4.3
36721.0/37230.0 days/days; walltime: 11.9
36722.0/37230.0 days/days; walltime: 16.3
36723.0/37230.0 days/days; walltime: 7.5
36724.0/37230.0 days/days; walltime: 6.1
36725.0/37230.0 days/days; walltime: 11.8
