Case 3:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.15771

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.2500
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 3
                beta: 2
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_003_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36566.0/37230.0 days/days; walltime: 0.3
36567.0/37230.0 days/days; walltime: 0.5
36568.0/37230.0 days/days; walltime: 0.3
36569.0/37230.0 days/days; walltime: 0.4
36570.0/37230.0 days/days; walltime: 0.4
36571.0/37230.0 days/days; walltime: 0.3
36572.0/37230.0 days/days; walltime: 0.4
36573.0/37230.0 days/days; walltime: 0.4
36574.0/37230.0 days/days; walltime: 0.2
36575.0/37230.0 days/days; walltime: 0.5
36576.0/37230.0 days/days; walltime: 0.4
36577.0/37230.0 days/days; walltime: 0.5
36578.0/37230.0 days/days; walltime: 0.4
36579.0/37230.0 days/days; walltime: 2.8
36580.0/37230.0 days/days; walltime: 0.7
36581.0/37230.0 days/days; walltime: 0.3
36582.0/37230.0 days/days; walltime: 0.3
36583.0/37230.0 days/days; walltime: 0.3
36584.0/37230.0 days/days; walltime: 0.3
36585.0/37230.0 days/days; walltime: 0.3
36586.0/37230.0 days/days; walltime: 0.3
36587.0/37230.0 days/days; walltime: 0.3
36588.0/37230.0 days/days; walltime: 0.3
36589.0/37230.0 days/days; walltime: 0.3
36590.0/37230.0 days/days; walltime: 0.3
36591.0/37230.0 days/days; walltime: 0.3
36592.0/37230.0 days/days; walltime: 0.3
36593.0/37230.0 days/days; walltime: 0.1
36594.0/37230.0 days/days; walltime: 0.3
36595.0/37230.0 days/days; walltime: 0.3
36596.0/37230.0 days/days; walltime: 0.3
36597.0/37230.0 days/days; walltime: 0.3
36598.0/37230.0 days/days; walltime: 0.1
36599.0/37230.0 days/days; walltime: 0.3
36600.0/37230.0 days/days; walltime: 0.2
36601.0/37230.0 days/days; walltime: 0.1
36602.0/37230.0 days/days; walltime: 0.3
36603.0/37230.0 days/days; walltime: 0.3
36604.0/37230.0 days/days; walltime: 0.1
36605.0/37230.0 days/days; walltime: 0.3
36606.0/37230.0 days/days; walltime: 0.3
36607.0/37230.0 days/days; walltime: 0.1
36608.0/37230.0 days/days; walltime: 0.3
36609.0/37230.0 days/days; walltime: 0.2
36610.0/37230.0 days/days; walltime: 0.1
36611.0/37230.0 days/days; walltime: 0.3
36612.0/37230.0 days/days; walltime: 0.1
36613.0/37230.0 days/days; walltime: 0.3
36614.0/37230.0 days/days; walltime: 0.2
36615.0/37230.0 days/days; walltime: 0.5
36616.0/37230.0 days/days; walltime: 1.3
36617.0/37230.0 days/days; walltime: 2.5
36618.0/37230.0 days/days; walltime: 11.0
36619.0/37230.0 days/days; walltime: 14.6
36620.0/37230.0 days/days; walltime: 13.9
36621.0/37230.0 days/days; walltime: 16.1
36622.0/37230.0 days/days; walltime: 17.1
36623.0/37230.0 days/days; walltime: 16.2
36624.0/37230.0 days/days; walltime: 17.7
36625.0/37230.0 days/days; walltime: 18.1
36626.0/37230.0 days/days; walltime: 18.5
36627.0/37230.0 days/days; walltime: 18.2
36628.0/37230.0 days/days; walltime: 21.0
36629.0/37230.0 days/days; walltime: 18.6
36630.0/37230.0 days/days; walltime: 17.7
36631.0/37230.0 days/days; walltime: 17.7
36632.0/37230.0 days/days; walltime: 19.6
36633.0/37230.0 days/days; walltime: 18.9
36634.0/37230.0 days/days; walltime: 17.9
36635.0/37230.0 days/days; walltime: 18.8
36636.0/37230.0 days/days; walltime: 17.9
36637.0/37230.0 days/days; walltime: 16.4
36638.0/37230.0 days/days; walltime: 17.7
36639.0/37230.0 days/days; walltime: 15.8
36640.0/37230.0 days/days; walltime: 17.7
36641.0/37230.0 days/days; walltime: 18.5
36642.0/37230.0 days/days; walltime: 17.8
36643.0/37230.0 days/days; walltime: 18.5
36644.0/37230.0 days/days; walltime: 16.9
36645.0/37230.0 days/days; walltime: 18.1
36646.0/37230.0 days/days; walltime: 15.5
36647.0/37230.0 days/days; walltime: 16.1
36648.0/37230.0 days/days; walltime: 14.3
36649.0/37230.0 days/days; walltime: 16.5
36650.0/37230.0 days/days; walltime: 15.0
36651.0/37230.0 days/days; walltime: 15.1
36652.0/37230.0 days/days; walltime: 15.4
36653.0/37230.0 days/days; walltime: 14.5
36654.0/37230.0 days/days; walltime: 14.1
36655.0/37230.0 days/days; walltime: 19.7
36656.0/37230.0 days/days; walltime: 13.0
36657.0/37230.0 days/days; walltime: 11.8
36658.0/37230.0 days/days; walltime: 9.7
36659.0/37230.0 days/days; walltime: 6.3
36660.0/37230.0 days/days; walltime: 25.0
36661.0/37230.0 days/days; walltime: 7.9
36662.0/37230.0 days/days; walltime: 5.3
36663.0/37230.0 days/days; walltime: 10.2
36664.0/37230.0 days/days; walltime: 22.3
36665.0/37230.0 days/days; walltime: 16.1
36666.0/37230.0 days/days; walltime: 8.1
36667.0/37230.0 days/days; walltime: 19.5
36668.0/37230.0 days/days; walltime: 11.1
36669.0/37230.0 days/days; walltime: 14.2
36670.0/37230.0 days/days; walltime: 15.2
36671.0/37230.0 days/days; walltime: 17.3
36672.0/37230.0 days/days; walltime: 7.4
36673.0/37230.0 days/days; walltime: 6.7
36674.0/37230.0 days/days; walltime: 17.7
36675.0/37230.0 days/days; walltime: 11.0
36676.0/37230.0 days/days; walltime: 14.3
36677.0/37230.0 days/days; walltime: 18.1
36678.0/37230.0 days/days; walltime: 23.9
36679.0/37230.0 days/days; walltime: 22.9
36680.0/37230.0 days/days; walltime: 13.1
