Case 2:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.15607

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.0299
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.1500
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.5000
                beta: 1.5000
               omega: 0

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_002_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36596.0/37230.0 days/days; walltime: 0.3
36597.0/37230.0 days/days; walltime: 0.2
36598.0/37230.0 days/days; walltime: 0.1
36599.0/37230.0 days/days; walltime: 0.3
36600.0/37230.0 days/days; walltime: 0.0
36601.0/37230.0 days/days; walltime: 0.3
36602.0/37230.0 days/days; walltime: 0.2
36603.0/37230.0 days/days; walltime: 0.1
36604.0/37230.0 days/days; walltime: 0.3
36605.0/37230.0 days/days; walltime: 0.1
36606.0/37230.0 days/days; walltime: 0.3
36607.0/37230.0 days/days; walltime: 0.1
36608.0/37230.0 days/days; walltime: 0.1
36609.0/37230.0 days/days; walltime: 0.2
36610.0/37230.0 days/days; walltime: 0.2
36611.0/37230.0 days/days; walltime: 0.1
36612.0/37230.0 days/days; walltime: 0.2
36613.0/37230.0 days/days; walltime: 0.0
36614.0/37230.0 days/days; walltime: 0.0
36615.0/37230.0 days/days; walltime: 0.3
36616.0/37230.0 days/days; walltime: 1.8
36617.0/37230.0 days/days; walltime: 3.8
36618.0/37230.0 days/days; walltime: 2.5
36619.0/37230.0 days/days; walltime: 5.6
36620.0/37230.0 days/days; walltime: 6.2
36621.0/37230.0 days/days; walltime: 8.6
36622.0/37230.0 days/days; walltime: 11.6
36623.0/37230.0 days/days; walltime: 18.7
36624.0/37230.0 days/days; walltime: 25.1
