Case 5:
Picked up JAVA_TOOL_OPTIONS: -Xmx2g
Opening log file:  /tmp/java.log.19737

                            < M A T L A B (R) >
                  Copyright 1984-2022 The MathWorks, Inc.
                  R2022a (9.12.0.1884302) 64-bit (glnxa64)
                             February 16, 2022

 
To get started, type doc.
For product information, visit www.mathworks.com.
 

config = 

  struct with fields:

                 k_s: 0.2500
                 l_c: 10
            n_moulin: 68
    creep_const_soft: 0
             mesh_nr: 4
                 k_c: 0.2000
               h_bed: 0.5000
               l_bed: 10
               alpha: 1.5000
                beta: 1.5000
               omega: 5.0000e-04
                 e_v: 1.0000e-04

Running model run (ode15s):
Run seasonal
Saving model run to
./RUN/output_005_seasonal.nc
IC initialised from struct
IC initialised from file/given & rest from parameters and given functions
36661.0/36682.0 days/days; walltime: 206.4
36662.0/36682.0 days/days; walltime: 284.6
36663.0/36682.0 days/days; walltime: 145.1
36664.0/36682.0 days/days; walltime: 37.8
36665.0/36682.0 days/days; walltime: 72.1
36666.0/36682.0 days/days; walltime: 154.0
36667.0/36682.0 days/days; walltime: 104.2
36668.0/36682.0 days/days; walltime: 950.5
36669.0/36682.0 days/days; walltime: 528.4
36670.0/36682.0 days/days; walltime: 61.3
36671.0/36682.0 days/days; walltime: 85.4
36672.0/36682.0 days/days; walltime: 128.7
36673.0/36682.0 days/days; walltime: 324.0
36674.0/36682.0 days/days; walltime: 331.0
36675.0/36682.0 days/days; walltime: 79.5
36676.0/36682.0 days/days; walltime: 389.5
36677.0/36682.0 days/days; walltime: 532.0
36678.0/36682.0 days/days; walltime: 97.7
36679.0/36682.0 days/days; walltime: 151.0
36680.0/36682.0 days/days; walltime: 129.5
36681.0/36682.0 days/days; walltime: 78.0
36682.0/36682.0 days/days; walltime: 62.7
Wallclock for model run: 7884.5s
 

fields = 

  struct with fields:

    nodes: [1x1 struct]
    edges: [1x1 struct]
       BC: [1x1 struct]


ans =

   366


mean_melt =

    0.9566

No cases left; exiting.
